Task ID    Gift ID      Gift Type   Task Type  Request Time     Task Arrival    TT     Responsible
1             1             3           A           0                0           3          B
2             2             2           P           1                1           3          A
3             3             1           C           2                2           2          B
4             1             3           C           0                3           2          A
6             2             2           C           1                4           1          B
7             3             1           D           2                4           2          S
8             5             1           C           5                5           1          A
9             1             3           D           0                5           2          S
11             6             1           C           6                6           1          A
5             4             3           A           4                4           3          B
10             2             2           D           1                5           3          S
14             4             3           C           4                7           1          B
12             5             1           D           5                6           3          S
13             6             1           D           6                7           3          S
16             4             3           D           4                8           3          S
15             7             2           P           8                8           3          A
17             8             3           A           9                9           2          B
19             10             1           C           11                11           1          A
20             7             2           C           8                11           1          B
21             8             3           C           9                11           2          A
23             10             1           D           11                12           2          S
25             12             1           C           13                13           1          A
24             7             2           D           8                12           3          S
26             8             3           D           9                13           3          S
27             13             3           A           14                14           2          B
18             9             2           P           10                10           7          A
28             12             1           D           13                14           3          S
31             13             3           C           14                16           1          B
34             9             2           C           10                17           1          A
30             14             5           Q           16                16           2          S
29             14             5           A           16                16           3          B
35             13             3           D           14                17           2          S
39             14             5           C           16                19           1          B
37             9             2           D           10                18           3          S
22             11             2           P           12                12           9          A
38             17             1           C           19                19           2          B
33             15             5           Q           17                17           5          S
41             19             1           C           21                21           1          A
42             11             2           C           12                21           2          B
43             17             1           D           19                22           1          S
45             19             1           D           21                22           2          S
32             15             5           A           17                17           8          B
46             11             2           D           12                23           2          S
36             16             2           P           18                18           8          A
49             15             5           C           17                25           1          B
48             22             1           C           24                24           3          A
50             16             2           C           18                26           1          B
53             22             1           D           24                27           1          S
51             23             5           A           26                26           3          B
54             16             2           D           18                27           2          S
40             18             2           P           20                20           10          A
52             23             5           Q           26                26           4          S
56             25             1           C           29                29           2          A
55             24             3           A           28                28           3          B
61             23             5           C           26                30           2          B
59             25             1           D           29                31           1          S
57             18             2           C           20                30           3          B
58             26             2           P           30                30           4          A
60             24             3           C           28                31           3          B
64             18             2           D           20                33           1          S
66             26             2           C           30                34           1          A
62             27             1           C           31                31           4          B
67             24             3           D           28                34           1          S
63             28             1           C           32                32           4          A
69             26             2           D           30                35           1          S
65             29             3           A           33                33           4          B
70             27             1           D           31                35           2          S
74             32             1           C           36                36           2          B
73             28             1           D           32                36           2          S
44             20             2           P           22                22           17          A
75             29             3           C           33                37           2          B
77             32             1           D           36                38           1          S
79             20             2           C           22                39           1          A
80             29             3           D           33                39           1          S
68             30             3           A           34                34           7          B
82             20             2           D           22                40           1          S
84             30             3           C           34                41           1          B
72             31             5           Q           35                35           7          S
47             21             2           P           23                23           20          A
85             30             3           D           34                42           1          S
86             37             1           C           42                42           2          A
71             31             5           A           35                35           9          B
87             21             2           C           23                43           2          A
90             31             5           C           35                44           1          B
89             37             1           D           42                44           1          S
88             38             1           C           43                43           3          A
92             21             2           D           23                45           1          S
76             33             3           A           37                37           10          B
94             38             1           D           43                46           1          S
95             33             3           C           37                47           1          B
93             40             2           P           45                45           4          A
96             41             1           C           47                47           2          B
97             33             3           D           37                48           1          S
99             40             2           C           45                49           1          A
100             41             1           D           47                49           1          S
78             34             3           A           38                38           13          B
103             40             2           D           45                50           1          S
106             34             3           C           38                51           1          B
102             43             4           Q           49                49           3          S
98             42             2           P           48                48           5          A
108             34             3           D           38                52           1          S
111             42             2           C           48                53           1          A
81             35             3           A           39                39           15          B
105             44             4           Q           50                50           4          S
114             35             3           C           39                54           1          B
113             42             2           D           48                54           1          S
115             48             1           C           54                54           2          B
116             35             3           D           39                55           1          S
101             43             4           P           49                49           8          A
118             48             1           D           54                56           1          S
120             43             4           C           49                57           1          A
83             36             3           A           40                40           18          B
110             46             5           Q           52                52           6          S
123             36             3           C           40                58           1          B
122             51             4           Q           57                57           2          S
125             36             3           D           40                59           1          S
104             44             4           P           50                50           11          A
91             39             3           A           44                44           17          B
127             44             4           C           50                61           1          A
126             53             1           C           59                59           3          B
128             39             3           C           44                61           2          A
129             54             1           C           61                61           2          B
130             53             1           D           59                62           1          S
132             39             3           D           44                63           1          S
109             46             5           A           52                52           13          B
133             54             1           D           61                63           2          S
107             45             2           P           51                51           15          A
136             46             5           C           52                65           1          B
135             56             5           Q           64                64           2          S
138             45             2           C           51                66           1          A
124             52             3           A           58                58           10          B
140             45             2           D           51                67           1          S
142             52             3           C           58                68           1          B
112             47             2           P           53                53           17          A
144             52             3           D           58                69           1          S
145             61             1           C           69                69           2          A
134             56             5           A           64                64           7          B
146             47             2           C           53                70           2          A
149             56             5           C           64                71           1          B
148             61             1           D           69                71           1          S
151             47             2           D           53                72           1          S
139             58             3           A           66                66           8          B
117             49             2           P           55                55           20          A
153             65             1           C           74                74           1          B
154             58             3           C           66                74           2          A
155             66             1           C           75                75           1          B
157             65             1           D           74                75           1          S
156             49             2           C           55                75           2          A
159             58             3           D           66                76           1          S
161             68             1           C           77                77           1          A
141             59             3           A           67                67           11          B
160             66             1           D           75                76           2          S
165             59             3           C           67                78           1          B
162             49             2           D           55                77           2          S
164             68             1           D           77                78           2          S
166             70             1           C           79                79           1          B
119             50             2           P           56                56           25          A
167             59             3           D           67                79           2          S
